incident_no,day,time_on_twitter,projected_start,event_end,full_tweet,category,projected_start_prj,event_end_prj,true_event_start,true_event_end
179,2016/01/18,10:36,10:36,12:36,"Water outages in Weltevreden & Portland roads, Rondebosch, which could affect the surrounds. The department is attending to this.",water,1,1,12:36,14:36
180,2016/01/18,10:41,10:41,11:41,Traffic lights at Raapenberg / Sawkins in Rosebank are flashing. The department is attending to the matter.,traffic,1,,12:41,13:41
181,2016/01/18,10:42,10:42,15:29,Traffic lights at Waterkant / Long in City Centre are flashing. The department is attending to the matter.,traffic,1,,12:42,17:29
182,2016/01/18,10:44,10:44,12:44,Traffic lights at Wesbank / Stellenbosch Arterial in Delft are out. The Department is attending to the matter.,traffic,1,1,12:44,14:44
183,2016/01/18,11:24,11:24,12:03,Traffic lights at De La Rey St / Francie van Zijl Dr in Beaconvale are flashing. The department is attending to the matter.,traffic,1,,13:24,14:03
184,2016/01/18,14:34,14:34,14:48,"Crash on the N2 inbound after Jan Smuts Dr, all lanes open. Proceed with caution.",traffic,1,,16:34,16:48
185,2016/01/18,14:59,14:59,16:59,Crash on the M5 south at Berkley. Right lane obstructed. Proceed with caution.,traffic,1,1,16:59,18:59
186,2016/01/18,16:15,16:15,16:54,"Vehicle Alight on the N2 outbound at Borcherds Quarry, right lane closed. Proceed with caution.",traffic,1,,18:15,18:54
187,2016/01/19,02:47,06:30,14:00,"Planned electrical maintenance today in Rondebosch, Forth road & surrounds from 08:30 ? 16:00. Contact 0860 103 089 for more info",electric,,,08:30,16:00
188,2016/01/19,02:48,04:00,16:00,"Planned electrical maintenance today in Plumstead, Students Way & surrounds from 06:00 ? 18:00. Contact 0860 103 089 for more info",electric,,,06:00,18:00
189,2016/01/19,02:48,06:00,14:00,"Planned electrical maintenance today in Maitland, Uniroute Intake from 08:00 ? 16:00. Contact 0860 103 089 for more info",electric,,,08:00,16:00
190,2016/01/19,02:50,06:30,14:00,"Planned electrical maintenance today in Philippi, Lansdowne Bridge Substation & surr from 08:30 ? 16:00. Contact 0860 103 089 for more info",electric,,,08:30,16:00
191,2016/01/19,02:50,06:00,16:00,"Planned electrical maintenance today in Somerset West, Parel Vallei road & surrounds from 08:00 ? 18:00. Contact 0860 103 089 for more info",electric,,,08:00,18:00
192,2016/01/19,02:51,06:00,14:00,"Planned electrical maintenance today in Newlands, Fleetwood avenue & surrounds from 08:00 ? 16:00. Contact 0860 103 089 for more info",electric,,,08:00,16:00
193,2016/01/19,02:52,06:00,14:00,"Planned electrical maintenance today in Wynberg, Morgenrood road & surrounds from 08:00 ? 16:00. Contact 0860 103 089 for more info",electric,,,08:00,16:00
194,2016/01/19,04:56,04:56,06:56,Traffic lights at Waterkant / Long in City Centre are flashing. The department is attending to the matter.,traffic,1,1,06:56,08:56
195,2016/01/19,05:15,18:00,20:00,Roadworks on Otto du Plessis Dr & Bay Beach Ave (Sunset Beach) between 8pm - 6am. Please make use of Ocean Way as an alternative access.,traffic,ends next day,1,20:00,22:00
196,2016/01/19,05:45,05:45,06:19,Crash on the N1 inbound before Plattekloof Rd. Centre lane obstructed.,traffic,1,,07:45,08:19
197,2016/01/19,05:46,05:46,06:38,Crash on Rhodes Drive & Hohenhort in Constantia. Obstruction Off roadway.,traffic,1,,07:46,08:38
198,2016/01/19,05:47,05:47,07:47,Crash on Central Square in Pinelands. Obstruction Off roadway.,traffic,1,1,07:47,09:47
199,2016/01/19,05:48,05:48,06:20,Crash on College Rd & Voorspoed Rd in Surrey Estate. Obstruction Off roadway.,traffic,1,,07:48,08:20
200,2016/01/19,05:49,05:49,06:21,Crash on Durban & Wilshammer Rd in Bellville. Obstruction Off roadway.,traffic,1,,07:49,08:21
201,2016/01/19,06:39,06:39,08:39,Crash on Neptune & Carlisle in Paarden Eiland. Obstruction Off roadway.,traffic,1,1,08:39,10:39
202,2016/01/19,06:40,06:40,08:40,Crash on Kommetjie Rd between Capri Rd & Glencairn Expressway. Obstruction Off roadway.,traffic,1,1,08:40,10:40
203,2016/01/19,08:00,08:00,11:09,Traffic lights at Victoria / Mountview are flashing. The department is attending to the matter.,traffic,1,,10:00,13:09
204,2016/01/19,14:39,14:39,16:39,Traffic lights at Neptune St / Carlisle St in Paarden Eiland are flashing. The department is attending to this.,traffic,1,1,16:39,18:39
205,2016/01/19,15:01,15:01,15:17,"Crash on the N2 outbound before Symphony Way, all lanes open. Proceed with caution.",traffic,1,,17:01,17:17
206,2016/01/19,16:19,16:19,16:48,"Crash on the R300 South at Stellenbosch Arterial, right lane closed. Proceed with caution.",traffic,1,,18:19,18:48
207,2016/01/20,01:55,06:00,14:00,"Planned electrical maintenance today in Maitland, Abattoir Substation from 08:00 ? 16:00. Contact 0860 103 089 for more info",electric,,,08:00,16:00
208,2016/01/20,01:56,06:30,14:00,"Planned electrical maintenance today in Rondebosch, Forth road & surrounds from 08:30 ? 16:00. Contact 0860 103 089 for more info",electric,,,08:30,16:00
209,2016/01/20,01:57,06:00,14:00,"Planned electrical maintenance today in Newlands, Constance road & surrounds from 08:00 ? 16:00. Contact 0860 103 089 for more info",electric,,,08:00,16:00
210,2016/01/20,01:57,06:00,14:00,"Planned electrical maintenance today in Newlands, Angelina avenue & surrounds from 08:00 ? 16:00. Contact 0860 103 089 for more info",electric,,,08:00,16:00
211,2016/01/20,01:58,06:00,14:00,"Planned electrical maintenance today in Bishops Court, Maclear way & surrounds from 08:00 ? 16:00. Contact 0860 103 089 for more info",electric,,,08:00,16:00
212,2016/01/20,01:58,06:00,14:00,"Planned electrical maintenance today in Gordons Bay, Wild Olive road & surrounds from 08:00 ? 16:00. Contact 0860 103 089 for more info",electric,,,08:00,16:00
213,2016/01/20,04:52,04:52,06:52,Truck broken down on Old Lansdowne Rd between Old Weltevreden & Ottery Rd in Philippi. Stop and Go in place.,traffic,1,1,06:52,08:52
214,2016/01/20,06:08,06:08,09:32,Crash on Govan Mbeki & Heinz Rd in Philippi. Obstruction Off roadway.,traffic,1,,08:08,11:32
215,2016/01/20,07:34,07:34,09:34,Traffic lights at Tennant / Constitution in Zonnebloem are flashing. The department is attending to the matter.,traffic,1,1,09:34,11:34
216,2016/01/20,08:38,08:38,10:38,"There is a water outage in Heide Road, Belhar, which could also be affecting the surrounds. The department is attending to this.",water,1,1,10:38,12:38
217,2016/01/20,08:39,08:39,10:39,"There is a water outage in Daniel Road, Sanddrift, which could also be affecting the surrounds. The department is attending to this.",water,1,1,10:39,12:39
218,2016/01/20,08:48,08:48,12:49,Traffic lights at Waterkant / Bree in City Centre are flashing. The department is attending to the matter.,traffic,1,,10:48,14:49
219,2016/01/20,08:51,08:51,10:51,Traffic lights at Tennant / Constitution in Zonnebloem are out. The department is attending to the matter.,traffic,1,1,10:51,12:51
220,2016/01/20,09:36,09:36,12:51,Traffic lights at Giel Basson / Nathan Mallach are flashing. The department is attending to the matter.,traffic,1,,11:36,14:51
221,2016/01/20,09:47,09:47,12:52,Traffic lights at Buitengracht / Hans Strijdom in City Centre are flashing. The department is attending to the matter.,traffic,1,,11:47,14:52
222,2016/01/20,13:38,13:38,15:13,Traffic lights at Govan Mbeki Rd / Heinz Rd are flashing. The department is attending to the matter.,traffic,1,,15:38,17:13
223,2016/01/21,05:17,05:17,07:17,Traffic lights at Govan Mbeki / Heinzin are flashing. The department is attending to the matter.,traffic,1,1,07:17,09:17
224,2016/01/21,06:04,06:04,11:11,Traffic lights at Amandel / Sandlewood Rd in Kuils River are flashing. The department is attending to the matter.,traffic,1,,08:04,13:11
225,2016/01/21,06:31,06:31,11:09,Traffic lights at Swartklip / Auber Rd in Mandalay are flashing. The department is attending to the matter.,traffic,1,,08:31,13:09
226,2016/01/21,12:58,12:58,14:58,Stationary vehicle on the N1 inbound ramp to the N7 north. Proceed with caution.,traffic,1,1,14:58,16:58
227,2016/01/21,14:03,14:03,16:03,"Stationary vehicle on the N1 outbound after Plattekloof, centre lane closed. Proceed with caution.",traffic,1,1,16:03,18:03
228,2016/01/21,15:40,15:40,16:23,"Stationary vehicle on the N1 outbound before Koeberg Rd interchange, right lane closed. Proceed with caution.",traffic,1,,17:40,18:23
229,2016/01/22,04:24,04:24,06:24,Traffic lights at Amandel / Sandlewood in Kuils River are flashing. The department is attending to the matter.,traffic,1,1,06:24,08:24
230,2016/01/22,04:24,04:24,06:08,Traffic lights at Klip Rd / Plantation Rd in Lotus River are flashing. The department is attending to the matter.,traffic,1,,06:24,08:08
231,2016/01/22,04:25,04:25,06:06,Traffic lights at Century Blvd / Entrance 7 are flashing. The department is attending to the matter.,traffic,1,,06:25,08:06
232,2016/01/22,08:06,06:06,08:06,Update: Crash on Botelary & Amandel in Brackenfell has been cleared.,traffic,,,08:06,10:06
233,2016/01/22,06:08,06:08,08:08,"Crash on Botelary & Amandel in Brackenfell. Obstruction In intersection, proceed with caution.",traffic,1,1,08:08,10:08
234,2016/01/22,06:09,06:09,14:28,Traffic lights at Govan Mbeki / Becker are out. The department is attending to the matter.,traffic,1,,08:09,16:28
235,2016/01/22,10:23,10:23,12:23,Truck broken down on Sir Lowrys Pass after the Hairpin Bend. Left lane obstructed (Direction Grabouw).,traffic,1,1,12:23,14:23
236,2016/01/22,10:36,10:36,12:36,City advises of temporary road closures for Kaizer Chiefs vs Platinum Stars soccer game: https://t.co/0u2myGfHMg https://t.co/7yYjk8cwxi,traffic,1,1,12:36,14:36
237,2016/01/22,11:16,11:16,13:16,Traffic lights at Edinburgh Dr / Hillwood Rd in Claremont are flashing. The department is attending to the matter.,traffic,1,1,13:16,15:16
238,2016/01/22,11:20,11:20,12:55,Traffic lights at Eversdal Rd / Fairtrees Rd in Amanda Glen are flashing. The department is attending to the matter.,traffic,1,,13:20,14:55
239,2016/01/22,11:37,11:37,13:00,"Stationary vehicle on the N1 outbound after Plattekloof, left lane closed. Proceed with caution.",traffic,1,,13:37,15:00
240,2016/01/22,12:28,12:28,12:56,Traffic lights at Jip De Jager Dr / Uys Krige Dr in Loevenstein are flashing. The department is attending to the matter.,traffic,1,,14:28,14:56
241,2016/01/22,13:15,13:15,14:48,Traffic lights Fairtrees Rd / De Villiers Rd in Sonstraal are flashing. The department is attending to the matter.,traffic,1,,15:15,16:48
242,2016/01/23,06:23,06:23,07:29,Traffic lights Nooiensfontein Rd / Carinus St in Kuils River are flashing. The department is attending to the matter.,traffic,1,,08:23,09:29
243,2016/01/23,06:50,06:50,10:49,Traffic lights Voortrekker Rd / 5th Avenue in Maitland are flashing. The department is attending to the matter.,traffic,1,,08:50,12:49
244,2016/01/23,06:53,06:53,10:43,Traffic lights at Walter Sisulu Ave / Buitengracht St in Cape Town City Centre are flashing. The department is attending to the matter.,traffic,1,,08:53,12:43
245,2016/01/23,10:31,10:31,10:51,Traffic lights at Koeberg Rd / Noble Rd in Milnerton are flashing. The department is attending to the matter.,traffic,1,,12:31,12:51
246,2016/01/24,00:00,00:00,02:00,No data,traffic,1,1,02:00,04:00
247,2016/01/25,04:21,04:21,09:48,"Traffic lights at Beach / St Johns, Sea Point are flashing. The department is attending to the matter.",traffic,1,,06:21,11:48
248,2016/01/25,04:26,04:26,06:57,"Traffic lights at Milton / Hugo Streets, Richmond Estate are flashing. The department is attending to the matter.",traffic,1,,06:26,08:57
249,2016/01/25,04:30,04:30,06:30,"Traffic lights at Spine / Church Streets, Strandfontein are flashing. The department is attending to the matter.",traffic,1,1,06:30,08:30
250,2016/01/25,04:42,04:42,06:33,"Traffic lights at Klip / Plantation Rd, Ferness are flashing. The department is attending to the matter.",traffic,1,,06:42,08:33
251,2016/01/25,04:44,04:44,06:31,"Traffic lights at Ladies Mile / Childrens Way, Bergvliet are flashing. The department is attending to the matter.",traffic,1,,06:44,08:31
252,2016/01/25,04:46,04:46,08:58,"Traffic lights at Roeland / Plein Streets, CBD are flashing. The department is attending to the matter.",traffic,1,,06:46,10:58
253,2016/01/25,05:14,05:14,06:39,"Crash on Hanover Park Ave, Athlone: Lonedown & Surran Roads closed in both directions, proceed with caution.",traffic,1,,07:14,08:39
254,2016/01/25,05:16,05:16,06:27,"Traffic lights at Klipfontein / Duinefontein Roads, Heideveld are flashing. The department is attending to the matter.",traffic,1,,07:16,08:27
255,2016/01/25,05:31,05:31,06:40,"Vehicle broken down at Marine Drive South before Loxton Rd, left lane closed, proceed with caution.",traffic,1,,07:31,08:40
256,2016/01/25,05:33,05:33,09:00,"Traffic lights at Mill / Breda St, Gardens are flashing. The department is attending to the matter.",traffic,1,,07:33,11:00
257,2016/01/25,05:38,05:38,07:38,"Traffic lights at Klipfontein / Hazel St, Athlone all lights out. The department is attending to the matter.",traffic,1,1,07:38,09:38
258,2016/01/25,06:22,06:22,08:22,"There is a water outage in Grens Road, Bellville, which could also be affecting the surrounds. The department is attending to this.",water,1,1,08:22,10:22
259,2016/01/25,06:23,06:23,08:23,"There is a water outage in Rue Street, Strand, which could also be affecting the surrounds. The department is attending to this.",water,1,1,08:23,10:23
260,2016/01/25,06:24,06:24,08:24,"There is a water outage in John Rumble Street, Somerset West, which could also be affecting the surrounds. The department is attending.",water,1,1,08:24,10:24
261,2016/01/25,06:24,06:24,08:24,"There is a water outage in Bedford Cnr Second Ave, Parow, which could also be affecting the surrounds. The department is attending to this.",water,1,1,08:24,10:24
262,2016/01/25,06:29,06:29,08:29,"Traffic lights at Klipfontein / Thornton, Athlone are flashing. The department is attending to the matter.",traffic,1,1,08:29,10:29
263,2016/01/25,06:48,06:48,09:18,"Traffic lights at Eisleben / Wespoort, Westridge are flashing. The department is attending to the matter.",traffic,1,,08:48,11:18
264,2016/01/25,06:53,06:53,07:37,"Traffic lights at Durban / De Villiers, Durbanville are flashing. The department is attending to the matter.",traffic,1,,08:53,09:37
265,2016/01/25,06:54,06:54,08:54,"Traffic lights at Main / Clovelly, Clovelly are flashing. The department is attending to the matter.",traffic,1,1,08:54,10:54
266,2016/01/25,06:56,06:56,12:08,"Traffic lights at Doncaster / Punters, Claremont are flashing. The department is attending to the matter.",traffic,1,,08:56,14:08
267,2016/01/25,08:33,07:00,09:00,There is an electrical fault in Fishoek affecting Dunster & Vicinity as of 09:00,electric,,1,09:00,11:00
268,2016/01/25,08:36,07:00,09:00,There is an electrical fault in Steenberg affecting Bothma street & Vicinity as of 09:00 we are attending to the fault,electric,,1,09:00,11:00
269,2016/01/25,08:37,07:00,09:00,There is an electrical fault in Seawinds affecting Overcome Heights Area as of 09:00 we are attending to the fault,electric,,1,09:00,11:00
270,2016/01/25,08:38,07:00,09:00,There is an electrical fault in bellville affecting Boston11 Ave & Vicinity as of 09:00 we are attending to the fault.,electric,,1,09:00,11:00
271,2016/01/25,08:39,05:57,07:57,There is an electrical fault in Strand affecting Fagan street & Vicinity as of 07:57 we are attending to the fault,electric,,1,07:57,09:57
272,2016/01/25,08:40,21:10,23:10,There is an electrical fault in Athlone affectingAnthony street & Vicinity as of 23:10 we are attending to the fault,electric,,1,23:10,01:10
273,2016/01/25,08:41,00:55,02:55,There is an electrical fault in Grassy Park affecting Klip road & Vicinity as of 02:55 we are attending to the fault,electric,,1,02:55,04:55
274,2016/01/25,08:43,06:00,15:00,Electrical Maintenance in Bellville( Dawn;Mildred;De Bron;Alison;Hillside;Doorde Kraal) from 08:00?17:00.Contact 0860 103 089 for more info,electric,,,08:00,17:00
275,2016/01/25,08:44,06:00,14:00,"Electrical Maintenance in Wynberg ( Connaught rd, Wetton Rd, Belper rd & Surr) from 08:00?16:00.Contact 0860 103 089 for more info",electric,,,08:00,16:00
276,2016/01/25,08:45,06:30,14:00,Electrical Maintenance in Belgravia Estate ( Ashby Road & Surr) from 08:30?16:00.Contact 0860 103 089 for more info,electric,,,08:30,16:00
277,2016/01/25,08:53,08:53,10:10,Traffic lights at Klipfontein Rd / Belgravia Rd in Silvertown are flashing. The department is attending to the matter.,traffic,1,,10:53,12:10
278,2016/01/26,04:10,04:10,06:10,"Traffic lights at Nooiensfontein / Carrinus St, Kuils River, all lights out, the department is attending to this.",traffic,1,1,06:10,08:10
279,2016/01/26,05:16,05:16,07:16,"Traffic lights at Sandown Rd / Campground Rd, Rondebosch are flashing. The department is attending to the matter.",traffic,1,1,07:16,09:16
280,2016/01/26,05:18,05:18,06:41,"Traffic lights at Doncaster Rd / Chichester Rd, Claremont are flashing. The department is attending to the matter.",traffic,1,,07:18,08:41
281,2016/01/26,07:26,07:26,10:45,Traffic lights at Main Rd / Piers Rd in Wynberg are flashing. The department is attending to the matter.,traffic,1,,09:26,12:45
282,2016/01/26,08:48,08:48,10:48,"Water outage 11th cnr Washington road, Boston, Bellville, which could also be affecting the surrounds. The department is attending to this.",water,1,1,10:48,12:48
283,2016/01/26,08:49,08:49,10:49,"Water outage Sipres avenue, Belhar, which could also be affecting the surrounds. The department is attending to this.",water,1,1,10:49,12:49
284,2016/01/26,08:50,08:50,10:50,"Water outage: 3rd cnr Gardiner street, Parow, which could also be affecting the surrounds. The department is attending to this.",water,1,1,10:50,12:50
285,2016/01/26,08:51,08:51,10:51,"Water outage: Anderson road, Goodwood, which could also be affecting the surrounds. The department is attending to this.",water,1,1,10:51,12:51
286,2016/01/26,08:51,08:51,10:51,"Water outage: Strawberry lane, Constantia, which could also be affecting the surrounds. The department is attending to this.",water,1,1,10:51,12:51
287,2016/01/26,08:51,08:51,10:51,"Water outage: Casper road, Ottery, which could also be affecting the surrounds. The department is attending to this.",water,1,1,10:51,12:51
288,2016/01/26,08:52,08:52,10:52,"Water outage: Ndlanzi road, Lower Cross Roads, which could also be affecting the surrounds. The department is attending to this.",water,1,1,10:52,12:52
289,2016/01/26,09:33,09:33,11:33,There is an electrical fault in Philippi affecting Monray street & Vicinity as of 10:00we are attending to the fault,electric,1,1,11:33,13:33
290,2016/01/26,09:35,08:00,10:00,There is an electrical fault in Constatntia affecting Bergendal;Oleander;Squrrel;Cushat & Vicinity as of 10:00 we are attending the fault.,electric,,1,10:00,12:00
291,2016/01/26,10:16,08:30,10:30,There is an electrical fault in Wetton affecting Wetton road & Vicinity as of 10:30 we are attending the fault.,electric,,1,10:30,12:30
292,2016/01/26,10:27,09:10,11:10,There is an electrical fault in Oceanview affecting Apollo; Aquarius & Vicinity as of 11:10 we are attending the fault,electric,,1,11:10,13:10
293,2016/01/26,10:43,10:43,12:43,"Update: Traffic lights at Main Rd / Hillside Rd, Fish Hoek have been repaired.",traffic,1,1,12:43,14:43
294,2016/01/26,10:48,10:48,12:48,"Traffic lights at Valhalla & Myrtle Rd, Kalksteenfontein are flashing. The department is attending to the matter.",traffic,1,1,12:48,14:48
295,2016/01/26,14:12,12:12,14:12,Update: Traffic lights at Valhalla & Myrtle Rd in Kalksteenfontein have been repaired.,traffic,,,14:12,16:12
296,2016/01/26,15:33,13:33,15:33,Update:Truck broken down on Voortrekker Rd and beach Rd in Maitland. All lanes re-open.,traffic,,,15:33,17:33
297,2016/01/26,14:17,14:17,14:19,Vegetation fire on the N2 outbound after Spine Rd. Left lane closed.,traffic,1,,16:17,16:19
298,2016/01/26,14:18,14:18,16:18,Truck broken down on Voortrekker Rd and beach Rd in Maitland. Both lanes towards the City closed.,traffic,1,1,16:18,18:18
299,2016/01/26,15:26,15:26,11:26,Traffic lights at Church / Spine in Strandfontein are flashing. The department is attending.,traffic,1,,17:26,13:26
300,2016/01/26,15:53,15:53,17:53,Update: Traffic lights at Church / Spine in Strandfontein are out. The department is attending.,traffic,1,1,17:53,19:53
301,2016/01/26,15:54,15:54,17:54,"Stationary Vehicle on the N2 outbound before Bhunga. Centre lane closed, expect delays.",traffic,1,1,17:54,19:54
302,2016/01/27,05:52,05:52,11:42,"Traffic lights at Buitenkant & Albertus St, CBD are flashing. The department is attending to this.",traffic,1,,07:52,13:42
303,2016/01/27,06:29,06:30,14:00,Electrical Maintenance in Belgravia Estate ( Taronga Road & Vicinity ) from 08:30?16:00.Contact 0860 103 089 for more info,electric,,,08:30,16:00
304,2016/01/27,06:31,04:00,16:00,"Electrical Maintenance in Hout Bay ( Harbour, Karbonkel , Rode Vos & Vicinity ) from 06:00?18:00.Contact 0860 103 089 for more info",electric,,,06:00,18:00
305,2016/01/27,06:36,06:00,16:00,Electrical Maintenance in Big Bay ( Big Bay Beach Club; Lapaloma & Vicinity ) from 08:00?18:00.Contact 0860 103 089 for more info,electric,,,08:00,18:00
306,2016/01/27,06:37,06:00,15:00,Electrical Maintenance in Kenridge Area ( De Villiers; Kenridge; Tafelberg & Vicinity ) from 08:00?17:00.Contact 0860 103 089 for more info,electric,,,08:00,17:00
307,2016/01/27,06:39,06:00,14:00,Electrical Maintenance in Gordons Bay Area ( Felicia; Mountainside ; Grens & Vicinity ) from 08:00?16:00.Contact 0860 103 089 for more info,electric,,,08:00,16:00
308,2016/01/27,06:41,06:00,14:00,Electrical Maintenance in Gordons Bay Area ( Greenway; Dennehof ; Bredel & Vicinity ) from 08:00?16:00.Contact 0860 103 089 for more info,electric,,,08:00,16:00
309,2016/01/27,06:42,06:00,14:00,Electrical Maintenance in Rondebosch East Area ( Taronga Road; & Vicinity ) from 08:00?16:00.Contact 0860 103 089 for more info,electric,,,08:00,16:00
310,2016/01/27,06:42,06:42,08:42,"Traffic lights at Dennehof Rd / Sir Lowry's Pass, Admirals Park, lights are flashing. The department is attending to this.",traffic,1,1,08:42,10:42
311,2016/01/27,09:19,08:30,10:30,There is an electrical fault in Noordhoek affecting Lynden Close & Vicinity as of 10:30,electric,,1,10:30,12:30
312,2016/01/27,11:14,11:14,13:14,"Traffic lights at Main / Hillside Rd, Fish Hoek are flashing. The department is attending to this.",traffic,1,1,13:14,15:14
313,2016/01/27,11:25,11:25,13:25,Traffic lights at Dennehof / Sir Lowry's Passin Admirals Park are out. The department is attending.,traffic,1,1,13:25,15:25
314,2016/01/27,14:36,12:36,14:36,Update: Crash on Koeberg Rd / Freedom Way has been cleared.,traffic,,,14:36,16:36
315,2016/01/27,15:08,15:08,17:08,Crash on Montaque Dr / Chain Rd in Montaque Gardens. Bus lane towards Bosmansdam Rd obstructed.,traffic,1,1,17:08,19:08
316,2016/01/27,15:51,15:51,17:51,"Crash on Spine / Birkenhead Rd in Strandfontein Village. Intersection blocked, traffic is being diverted via Seafarer & Birkenhead rd.",traffic,1,1,17:51,19:51
317,2016/01/27,15:52,15:52,17:52,Update: Crash on Montaque Dr / Chain Rd in Montaque Gardens has been cleared.,traffic,1,1,17:52,19:52
318,2016/01/28,04:21,04:21,07:16,"Traffic lights at Turfhall Rd / Pooke Rd, Newfields are flashing. The department is attending to the matter.",traffic,1,,06:21,09:16
319,2016/01/28,06:31,06:31,07:06,"Crash: N1 Outbound, before Durban road, left lane closed, expect delays, proceed with caution.",traffic,1,,08:31,09:06
320,2016/01/28,09:58,09:50,11:50,There is an electrical fault in Saltriver affecting Burns;Colridge & Vicinity as of 11:50 we are busy attending to the fault.,electric,,1,11:50,13:50
321,2016/01/28,13:52,13:52,14:45,Crash on Military Rd at Steenberg Railway crossing. Steenberg Railway crossing closed; motorists may use the White Rd Railway crossing.,traffic,1,,15:52,16:45
322,2016/01/28,14:11,14:11,16:11,Traffic lights at Koeberg / Noble in Milnerton are flashing. The department is attending to the matter.,traffic,1,1,16:11,18:11
323,2016/01/28,14:40,14:40,15:55,"Traffic lights at Tokai / M3, are flashing. The department is attending to the matter.",traffic,1,,16:40,17:55
324,2016/01/28,19:02,18:30,20:30,"There is currently an electrical fault in Durbanville, Tygervalley road, Racecourse road and surrounds, as of 20:30",electric,,1,20:30,22:30
325,2016/01/29,04:02,04:02,06:02,"Crash on the N1 Outbound before Jip De Jager, cleared, expect delays and proceed with caution.",traffic,1,1,06:02,08:02
326,2016/01/29,04:10,04:10,06:10,"Crash on the N1, Inbound at Plattekloof, right lane closed, expect delays, proceed with caution.",traffic,1,1,06:10,08:10
327,2016/01/29,04:15,04:15,07:22,"Traffic lights at Turfhall Rd / Pooke Rd, Newfields are flashing. The department is attending to this.",traffic,1,,06:15,09:22
328,2016/01/29,04:18,04:18,07:22,"Traffic lights at West Coast Rd / Melkbos Rd, Melkbos are flashing. The department is attending to this.",traffic,1,,06:18,09:22
329,2016/01/29,05:02,05:02,07:23,"Traffic lights at Nooiensfontein Rd / Carrinus Rd, Kuils River, all lights are out. The department is attending to this.",traffic,1,,07:02,09:23
330,2016/01/29,05:12,05:12,07:12,"Update: Crash on the N1 Inbound at Plattekloof, cleared, proceed with caution",traffic,1,1,07:12,09:12
331,2016/01/29,08:18,08:18,09:23,"Crash: on the N7, Southbound before Bosmansdam, lane closure, expect delays, proceed with caution.",traffic,1,,10:18,11:23
332,2016/01/29,08:19,08:19,09:21,"Crash on the N2 Inbound at Bhunga Avenue, Right lane obstructed, Expect delays, proceed with caution.",traffic,1,,10:19,11:21
333,2016/01/29,08:52,08:50,10:50,There is an electrical fault in Bonteheuwel affecting Oudehout & Vicinity as of 10:50 we are busy attending to the fault.,electric,,1,10:50,12:50
334,2016/01/29,11:14,11:14,12:22,Traffic lights at Main / Bezweni in Cherrywood Gardens are flashing. The department is attending to the matter.,traffic,1,,13:14,14:22
335,2016/01/29,11:58,11:58,15:56,Crash on the Link from Marine Drive onto FW De Klerk Blvd outbound. Partial obstruction to the left lane on FW De Klerk Blvd.,traffic,1,,13:58,17:56
336,2016/01/29,12:25,12:25,15:32,Traffic lights at Blaauwberg / Gie in Table View are flashing. The department is attending to the matter.,traffic,1,,14:25,17:32
337,2016/01/29,12:26,12:26,15:32,Traffic lights at Main / Pollsmoor in Retreat are flashing. The department is attending to the matter.,traffic,1,,14:26,17:32
338,2016/01/29,13:36,13:36,15:36,Roadworks on the R27 West Coast Road from 1-5 February 2016.,traffic,1,1,15:36,17:36
339,2016/01/29,14:07,14:07,16:07,Update:Crash on Link from Marine Dr onto FW De Klerk Blvd. All vehicles exiting Paarden Eiland towards Goodwood/Bellville to use Section St.,traffic,1,1,16:07,18:07
340,2016/01/29,14:08,14:08,16:08,Update: Crash on Link Rd from Marine Drive onto FW De Klerk Blvd. Marine Dr link onto FW De Klerk Blvd outbound is closed.,traffic,1,1,16:08,18:08
341,2016/01/29,14:50,14:50,15:39,Crash on Somerset & Wessels Rd in Greenpoint. Both right lanes obstructed on Somerset Rd (In both directions),traffic,1,,16:50,17:39
342,2016/01/29,15:42,15:42,17:42,Traffic lights at Peter Barlow / Tienie Meyer are flashing. The department is attending to the matter.,traffic,1,1,17:42,19:42
343,2016/01/30,06:58,06:58,08:42,Traffic lights at Bill Bezuidenhout / Sporticain Bellville Park are flashing. The department is attending to the matter.,traffic,1,,08:58,10:42
344,2016/01/30,10:38,08:38,10:38,Update: Traffic lights at Main / Durham have been repaired.,traffic,,,10:38,12:38
345,2016/01/30,10:40,10:40,12:40,Traffic lights at La Belle / Winelands are flashing. The department is attending to the matter.,traffic,1,1,12:40,14:40
346,2016/02/01,04:03,04:03,04:03,Update: Traffic lights at Highlands / Jakes Gerwel in Mitchells Plain have been repaired.,,1,,06:03,06:03
347,2016/02/01,04:20,04:20,04:20,Update: Traffic lights at Robert Sobukwe / De La Rey in Belhar have been repaired.,,1,,06:20,06:20
348,2016/02/01,04:21,04:21,06:21,"Stationary vehicle on the N1, Outbound after Plattekloof, left lane closed, expect delays, proceed with caution.",,1,1,06:21,08:21
349,2016/02/01,04:31,04:31,04:31,"Update: Stationary Vehicle on the N2, Outbound before Liesbeeck has been cleared.",,1,,06:31,06:31
350,2016/02/01,04:33,04:33,06:33,"Stationary Vehicle on the N2, Outbound before Liesbeeck, left lane closed, expect delays, proceed with caution.",,1,1,06:33,08:33
351,2016/02/01,04:34,04:34,04:34,"Update: Traffic lights at Sandown Rd & Campground Rd, Rondebosch have been repaired.",,1,,06:34,06:34
352,2016/02/01,04:57,04:57,06:57,"Traffic lights at Ottery Rd & the M5, Ottery are flashing. The department is attending to the matter.",,1,1,06:57,08:57
